Rank,Name,Park,Location,Supplier,Year,Awarded
21,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2016
22,CÃº Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2016
23,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2016
24,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2016
25,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2016
25,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2009,2016
27,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2016
28,Wildfire,KolmÃ¥rden,"NorrkÃ¶ping, Sweden",Rocky Mountain,2016,2016
29,GhostRider,Knottâ€™s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,2016
30,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,2016
31,The Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2016
32,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2016
33,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2016
34,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2016
35,Megafobia,Oakwood Leisure Park,"Pembrokeshire, Wales",Custom Coasters,1996,2016
36,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,2016
37,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2016
38,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2016
39,Screaminâ€™ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,2016
40,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,2016
41,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2016
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2016
43,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2016
44,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2016
45,Twister,GrÃ¶na Lund,"Stockholm, Sweden",Gravity Group,2011,2016
46,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2016
47,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2016
48,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2016
49,Wood Coaster,Knight Valley,"Shenzhen, China",Great Coasters Int.,2011,2016
50,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/The Gravity Group,2007,2016
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2015
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",Intamin,2006,2015
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn â€“ PTC/Schmeck,1985,2015
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2015
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2015
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,2015
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2015
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2015
9,Gold Striker,Californiaâ€™s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2015
10,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2015
11,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2015
12,The Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2015
13,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2015
14,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2015
15,Thunderbolt,Kennywood,"West Mifflin, Pa",Vettel/Miller,1927,2015
16,Cyclone,Luna Park/Coney Island,"Brookyn, N.Y.",Keenan/Baker,1927,2015
17,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2015
18,Troy,Toverland,"Sevenum, the Netherlands",Great Coasters Int.,2007,2015
19,CÃº Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2015
20,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2015
21,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2015
21,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2015
23,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2015
24,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2015
25,The Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2015
26,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2015
27,Megafobia,Oakwood,"Pembrokeshire, Wales",Custom Coasters,1996,2015
28,Rampage,Alabamaâ€™s Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2015
29,Wodan Timbur Coaster,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2015
30,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",Phare,1959,2015
31,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",Gravity Group,2005,2015
32,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,2015
33,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2015
34,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2015
35,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2015
35,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2015
37,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",Great Coasters Int.,2009,2015
38,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2015
39,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2015
40,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2015
41,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2015
42,The Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2015
43,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2015
44,Twister,GrÃ¶na Lund,"Stockholm, Sweden",Gravity Group,2011,2015
45,Comet,Hersheypark,"Hershey, Pa.",PTC/Schmeck,1946,2015
45,Zippin Pippin,Bay Beach,"Green Bay, Wis.",M&V,2011,2015
47,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2015
48,Big Dipper,Blackpool Pleasure Beach,"Blackpool, England",PTC/Miller,1923,2015
48,Tonnerre de Zeus,Parc Asterix,"Plailly, France",Custom Coasters,1997,2015
50,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2015
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2014
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",Intamin,2006,2014
3,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2014
4,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn â€“ PTC/Schmeck,1985,2014
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2014
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2014
7,Gold Striker,Californiaâ€™s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2014
8,The Beast,Kings Island,"Mason, Ohio",KECO,1979,2014
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2014
10,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2014
11,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2014
12,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2014
13,The Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2014
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2014
15,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2014
16,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2014
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2014
18,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2014
19,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2014
20,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2014
21,Wodan Timbur Coaster,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2014
22,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",Kenan/Baker,1927,2014
23,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2014
24,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2014
25,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2014
26,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",Gravity Group,2005,2014
27,The Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2014
28,Wooden Warrior,Quassy Park,"Middlebury, Conn.",Gravity Group,2011,2014
29,El Toro,Freizeitpark Plohn,"Lengenfeldl, Germany",Great Coasters Int.,2009,2014
30,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2014
31,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2014
32,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2014
33,Megafobia,Oakwood Leisure Park,"Pembrokeshire, Wales",Custom Coasters,1996,2014
34,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,2014
35,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2014
35,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2014
37,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",Phare,1959,2014
38,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",Great Coasters Int.,2009,2014
38,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2014
40,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2014
41,Rutschebanen,Tivoli Gardens,"Copenhagen, Denmark",Thompson,1914,2014
42,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2014
43,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England",Wright/Blackpool,1958,2014
44,GhostRider,Knottâ€™s Berry Farm,"Buena Park, Calif.",Custom Coasters,1998,2014
45,Colossus,Six Flags Magic Mountain,"Valencia, Calif.",IAD,1978,2014
46,Tonnerre de Zeus,Parc Asterix,"Plailly, France",Custom Coasters,1997,2014
47,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",S&S,2004,2014
48,The Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2014
49,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995,2014
50,Wood Coaster,Knight Valley,"Shenzhen, China",Great Coasters Int.,2011,2014
1,Bouder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,2013
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2013
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTCSchmeck,1985,2013
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2013
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,2013
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2013
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2013
8,The Beast,Kings Island,"Mason, Ohio",KECO,1979,2013
9,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,2013
10,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",CCI,1998,2013
11,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995,2013
12,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009,2013
13,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2013
14,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005,2013
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2013
16,Comet,The Great Escape,"Lake George, N.Y.",PTC â€“ Schmeck,1994,2013
17,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2013
18,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1920,2013
19,Cyclone,Luna Park (Coney Island),"Brooklyn, N.Y.",Keenan/Baker,1927,2013
19,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000,2013
21,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006,2013
22,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2013
23,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",GCII,2009,2013
24,Tremors,Silverwood,"Athol, Idaho",CCI,1999,2013
25,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008,2013
26,Gold Striker,Californiaâ€™s Great America,"Santa Clara, Calif.",GCII,2013,2013
27,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC â€“ Hoover,1964,2013
28,Troy,Toverland,"Sevenum, Netherlands",GCII,2007,2013
29,GhostRider,Knottâ€™s Berry Farm,"Buena Park, Calif.",CCI,1998,2013
30,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C., Canada",Phare,1958,2013
31,Wodan Timbur Coaster,EuropaPark,"Rust, Germany",GCII,2012,2013
32,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2001,2013
33,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2013
34,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2013
35,Racer,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1927,2013
36,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2013
37,Zippin Pippin,Bay Beach Amusement Park,"Green Bay, Wis.",M&V,2011,2013
38,Thunderbird,PowerLand,"AlahÃ¤rmÃ¤, Finland",GCII,2006,2013
39,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",FettermanKnoebels,1999,2013
40,Megafobia,Oakwood,"Pembrokeshire, Wales",CCI,1996,2013
41,Grand National,"Pleasure Beach, Blackpool","Blackpool, England",Paige,1935,2013
41,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2013
43,Great American Scream Machine,Six Flags Over Georgia,"Austell, Ga.",PTC â€“ Allen,1973,2013
44,Tonnerre de Zeus,Parc AstÃ©rix,"Plailly, France",CCI,1997,2013
44,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey â€“ Six Flags,1995,2013
46,HellCat,Timber Falls,"Wisconsin Dells, Wis.",S & S,2004,2013
46,Twister,GrÃ¶na Lund,"Stockholm, Sweden",Gravity Group,2011,2013
48,Cyclone,Lakeside Park,"Denver, Colo.",Vettel,1940,2013
49,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009,2013
50,Yankee Cannonball,Canobie Lake Park,"Salem, N.H.",PTC â€“ Schmeck,1936,2013
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2012
2,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2012
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTCSchmeck,1985,2012
4,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,2012
5,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,2012
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2012
7,The Beast,Kings Island,"Mason, Ohio",KECO,1979,2012
8,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995,2012
9,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",CCI,1998,2012
10,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2012
11,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,2012
12,Hades,Mount Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005,2012
13,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009,2012
14,Cyclone,Coney Island/Luna Park,"Brooklyn, N.Y.",Kenan/Baker,1927,2012
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2012
16,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1920,2012
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2012
18,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000,2012
19,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2012
20,Comet,The Great Escape,"Lake George, N.Y.",PTC â€“ Schmeck,1994,2012
21,Tremors,Silverwood,"Athol, Idaho",CCI,1999,2012
22,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006,2012
23,GhostRider,Knottâ€™s Berry Farm,"Buena Park, Calif.",CCI,1998,2012
24,Twister,GrÃ¶na Lund,"Stockholm, Sweden",Gravity Group,2011,2012
25,Troy,Toverland,"Sevenum, the Netherlands",GCII,2007,2012
26,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995,2012
27,Megafobia,Oakwood,"Pembrokshire, Wales",CCI,1996,2012
28,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009,2012
29,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1958,2012
30,Grand National,"Pleasure Beach, Blackpool","Blackpool, England",Paige,1935,2012
31,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008,2012
32,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2012
33,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",FettermanKnoebels,1999,2012
34,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",GCII,2009,2012
35,Thunderbird,PowerLand,"AlahÃ¤rmÃ¤, Finland",GCII,2006,2012
36,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",S & S,2004,2012
37,Tonnerre de Zeus,Park AstÃ©rix,"Plailly, France",CCII,1997,2012
38,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC â€“ Hoover,1964,2012
39,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2012
39,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2001,2012
41,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",LaMarcus Thompson,ca. 1914,2012
42,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000,2012
42,Racer,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1927,2012
44,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2012
45,Mean Streak,Cedar Point,"Sandusky, Ohio",DinnSummers,1991,2012
46,T Express,Everland,"Yonjinsi, South Korea",Intamin,2008,2012
46,Timber Terror,Silverwood,"Athol, Idaho",CCI,1996,2012
48,Great American Scream Machine,Six Flags Over Georgia,"Austell, Ga.",PTC â€“ Allen,1973,2012
49,Wild Mouse,"Pleasure Beach, Blackpool","Blackpool, England",Wright,1958,2012
50,Renegade,Valleyfair!,"Shakopee, Minn.",GCII,2007,2012
1,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2011
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTCSchmeck,1985,2011
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2011
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,2011
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,2011
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2011
7,The Beast,Kings Island,"Kings Mills, Ohio",KECO,1979,2011
8,Hades,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005,2011
9,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",CCI,1998,2011
10,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009,2011
11,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,2011
12,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995,2011
13,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2011
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2011
15,Cyclone,Coney Island/Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2011
16,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006,2011
17,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2011
18,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000,2011
19,Comet,The Great Escape,"Lake George, N.Y.",PTCSchmeck,1994,2011
20,Megafobia,Oakwood Theme Park,"Pembrokshire, Wales",CCI,1996,2011
20,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",FettermanKnoebels,1999,2011
22,American Thunder,Six Flags St. Louis,"Eureka, Mo.",GCII,2008,2011
23,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1920,2011
24,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2004,2011
25,Grand National,"Pleasure Beach, Blackpool","Blackpool, England",Paige,1935,2011
26,Renegade,Valleyfair,"Shakopee, Minn.",GCII,2007,2011
27,GhostRider,Knottâ€™s Berry Farm,"Buena Park, Calif.",CCI,1998,2011
28,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2011
29,Colossos,HeidePark,"Soltau, Germany",Intamin,2001,2011
30,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",S&S,2004,2011
31,Tremors,Silverwood,"Athol, Idaho",CCI,1999,2011
32,Rampage,Alabama Adventure,"Bessemer, Ala.",CCI,1998,2011
33,Troy,Toverland,"Sevenum, The Netherlands",GCII,2007,2011
34,Playland Wooden Coaster,Playland at the PNE,"Vancouver, B.C. Canada",Phare,1958,2011
35,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",GCII,2009,2011
36,Apocalypse,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009,2011
36,Twister,GrÃ¶na Lund,"Stockholm, Sweden",Gravity Group,2011,2011
38,Thunderbird,PowerLand,"AlahÃ¤rmÃ¤, Finland",GCII,2006,2011
39,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2011
40,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2011
41,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995,2011
42,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000,2011
43,Racer,Kennywood,"West Mifflin, Pa.",Miller,1927,2011
44,Wild Mouse,"Pleasure Beach, Blackpool","Blackpool, England",Wright,1958,2011
44,Zippin Pippin,Bay Beach Amusement Park,"Green Bay, Wis.",M&V/Gravity Group,2011,2011
46,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2011
47,Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Pierce,1992,2011
48,Rutschebanen,Tivoli Gardens,"Copenhagen, Denmark",unknown,ca. 1915,2011
49,Blue Streak,Cedar Point,"Sandusky, Ohio",PTCHoover,1964,2011
50,Tonnerre de Zeus,Parc Asterix,"Plailly, France",CCI,1997,2011
1,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2010
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2010
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTCSchmeck,1985,2010
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,2010
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,2010
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2010
7,The Beast,Kings Island,"Kings Mills, Ohio",KECO,1979,2010
8,Hades,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005,2010
9,The Raven,Holiday World,"Santa Claus, Ind.",CCI,1995,2010
10,Lightning Racer,Hersheypark,"Hershey, Pa.",GCII,2000,2010
11,Shivering Timbers,Michiganâ€™s Adventure,"Muskegon, Mich.",CCI,1998,2010
12,Prowler,Worlds of Fun,"Kansas City, Mo.",GCII,2009,2010
13,Cyclone,Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,2010
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2010
15,The Legend,Holiday World,"Santa Claus, Ind.",CCI,2000,2010
16,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",GCII,2006,2010
17,Comet,The Great Escape,"Lake George, N.Y.",PTCSchmeck,1994,2010
18,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2010
19,Hellcat,Timber Falls,"Wisconsin Dells, Wis.",S&S,2004,2010
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC â€“ Miller,1921,2010
21,Balder,Liseberg,"Stockholm, Sweden",Intamin,2003,2010
22,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2010
23,Evel Knievel,Six Flags St. Louis,"Eureka, Mo.",GCII,2008,2010
24,GhostRider,Knottâ€™s Berry Farm,"Buena Park, Calif.",CCI,1998,2010
25,Tremors,Silverwood,"Athol, Idaho",CCI,1999,2010
26,Coaster,Playland at the PNE,"Vancouver, B.C. Canada",Phare,1958,2010
27,Terminator Salvation: The Ride,Six Flags Magic Mountain,"Valencia, Calif.",GCII,2009,2010
28,Grand National,Pleasure Beach Blackpool,"Blackpool, England",Paige,1935,2010
29,Cornball Express,Indiana Beach,"Monticello, Ind.",CCI,2001,2010
30,Megafobia,Oakwood Leisure Park,"Pembrokshire, Wales",CCI,1996,2010
31,The Boss,Six Flags St. Louis,"Eureka, Mo.",CCI,2000,2010
32,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2010
33,Rampage,Alabama Adventure,"Bessemer, Ala.",CCI,1998,2010
34,Viper,Six Flags Great America,"Gurnee, Ill.",Starkey/Six Flags,1995,2010
35,Racer,Kennywood,"West Mifflin, Pa.",PTCMiller,1927,2010
36,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2010
37,Thunderbird,PowerPark,"Alaharma, Finland",GCII,2006,2010
38,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2010
39,Hurricane,Boomers,"Dania Beach, Fla.",Coaster Works,2000,2010
40,Tonnerre de Zeus,Parc Asterix,"Plailly, France",CCI,1997,2010
41,Troy,Toverland,"Sevenum, The Netherlands",GCII,2007,2010
42,Aska,Nara Dreamland,"Nara, Japan",Intamin,1998,2010
42,Renegade,Valleyfair!,"Shakopee, Minn.",GCII,2007,2010
44,Timber Terror,Silverwood,"Athol, Idaho",CCI,1996,2010
